gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76935.634255479	3.072330788441718	0.1551985664489249	19.79612865466001	3.214702457961528e-87	7.361668628731899e-85
ENSG00000154734	22865.30826120926	3.442380153817003	0.17934178732332573	19.194523513981267	4.112366927737988e-82	4.7086601322599965e-80
ENSG00000154723	7343.919172043617	2.582669912762213	0.16385282343959265	15.762132495167908	5.66874500269504e-56	4.32714201872388e-54
ENSG00000180509	30231.553898385304	2.94416068680346	0.20001956872573054	14.719363238106627	4.841980503389872e-49	2.772033838190702e-47
ENSG00000183145	9994.661328208478	2.8914420994095233	0.2488264605385727	11.620315995136282	3.2493219854233763e-31	1.4881894693239062e-29
ENSG00000276289	11795.884381591472	2.8602699102235665	0.4649936503079576	6.151202082715016	7.689786262672318e-10	2.934935090253268e-8
ENSG00000277277	724.4997447603035	0.9286197594310113	0.26386272048580656	3.5193291334270262	4.3263961671821763e-4	0.014153496032638834
ENSG00000185437	2256.783731329235	0.516957021018471	0.1909054065562585	2.707922370266278	0.006770585732507719	0.19380801659303346
ENSG00000160188	1876.16051035298	-0.5370856435454167	0.21914957603289006	-2.4507719944884157	0.014255021764131183	0.34646575435960086
ENSG00000154719	1373.4166892086546	-0.5882812412419771	0.24216438729827097	-2.4292640540799177	0.015129508924000038	0.34646575435960086
ENSG00000157557	3474.1793339918463	-0.4904147863486375	0.21014082880753626	-2.3337434668528814	0.01960915859508352	0.3809187615352602
ENSG00000160207	885.4240582493577	0.633612866364957	0.274363544934991	2.309391601260613	0.020921860662993497	0.3809187615352602
ENSG00000177692	2181.3187530823184	0.4598630898980247	0.20020991647612063	2.29690465883029	0.02162420917012394	0.3809187615352602
ENSG00000205929	1354.5956297532246	0.4733525326706843	0.23696617247650675	1.997553185434572	0.04576512293131618	0.7036494020590945
ENSG00000186930	103.42580893089112	-1.1264420036230278	0.5647563171717666	-1.994562910361264	0.04609057218727693	0.7036494020590945
ENSG00000184012	5523.372397576106	-0.39629927545572874	0.2085442518867036	-1.9003126284728638	0.057392105071143854	0.8044074475453808
ENSG00000183036	968.6219426075498	-0.5297053540007008	0.2813263208579391	-1.8828858685717689	0.05971583671734269	0.8044074475453808
ENSG00000141959	16639.977004583394	2.030645702714278	1.1053158755273043	1.8371632468822852	0.06618579957927144	0.8420304502029533
ENSG00000166265	1222.5632457028419	0.5314442273916713	0.3012904839475992	1.7638931718935427	0.0777499666729743	0.8652529856376553
ENSG00000187175	207.71778982578286	0.7790944206667912	0.44236279517755706	1.7612114516865636	0.07820262051537738	0.8652529856376553
ENSG00000159128	2810.108539031642	0.34676430573837774	0.19764377721581308	1.754491391650219	0.07934634366109503	0.8652529856376553
ENSG00000244624	102.0700677254821	0.9875074979841336	0.575261263521698	1.7166243594061956	0.08604782873874683	0.8947602508791049
ENSG00000274391	3083.2236812427045	0.2885204005417443	0.17278297870580442	1.6698427281601893	0.09495048407396284	0.8947602508791049
ENSG00000154721	3847.631310348957	-0.32404468044576057	0.19657451536245743	-1.6484572267583364	0.09925888108078819	0.8947602508791049
ENSG00000197683	369.26849935434615	-0.684075809032585	0.42179763665248565	-1.6218104360698147	0.10484394320736681	0.8947602508791049
ENSG00000184221	1250.360180706985	-0.4602140663221229	0.2849107589352395	-1.615291988417784	0.10624747779308981	0.8947602508791049
ENSG00000154727	3764.9042917702	0.27450353227800234	0.17006406323760714	1.6141183919290243	0.10650174877315244	0.8947602508791049
ENSG00000142173	5506.54185211511	-0.3126798727532804	0.1956213480225832	-1.5983934060058902	0.10995545121617491	0.8947602508791049
ENSG00000212938	216.08910418725756	-0.713185591897357	0.4503889726448826	-1.5834881296254142	0.1133102501113277	0.8947602508791049
ENSG00000156239	3663.705425952676	-0.36518654146115687	0.2383394489805251	-1.5322119062673363	0.12547015138446754	0.9577002245234952
ENSG00000160182	178.7252779722575	-0.6949840053178133	0.47511019313510056	-1.4627848767710827	0.14352625253433207	0.9577002245234952
ENSG00000186925	146.39732545208176	0.6782051549724476	0.47247581650533227	1.4354282934284184	0.15116508828534525	0.9577002245234952
ENSG00000154654	5151.821538407525	0.32696542834360964	0.2289616490016773	1.42803578577133	0.153281558546332	0.9577002245234952
ENSG00000166351	1223.7691435244533	0.34799286324227885	0.2497833710850761	1.3931786640983104	0.16356576998647565	0.9577002245234952
ENSG00000159200	9649.793456462125	-0.23413095868074443	0.17614187658659622	-1.329218032746683	0.18377604742225118	0.9577002245234952
ENSG00000182591	328.5136695474693	-0.5005912716749692	0.3770414334789056	-1.3276823903836972	0.1842830533980953	0.9577002245234952
ENSG00000159263	4523.4607476458705	-0.25347781941662195	0.1914929622804537	-1.323692611979063	0.1856051531131664	0.9577002245234952
ENSG00000154640	1588.984817411323	-0.24428074531888994	0.18792307498788838	-1.2998975529462458	0.19363608392414192	0.9577002245234952
ENSG00000160181	720.3116502673539	0.33895766455046494	0.26266042811948354	1.2904786114042044	0.1968845333641117	0.9577002245234952
ENSG00000232263	142.44426126614815	-0.6707669914409745	0.5254560384912692	-1.2765425502900938	0.2017637953988506	0.9577002245234952
ENSG00000206104	85.52350176809799	0.7905603538937599	0.6243102208695864	1.2662941074272462	0.2054078058231429	0.9577002245234952
ENSG00000183527	1893.4605938914674	0.24105909287237204	0.19101486086486968	1.2619913015192328	0.20695191640082783	0.9577002245234952
ENSG00000157617	9315.482298426648	-0.24779624775922499	0.1977080394950399	-1.2533443171664331	0.210080426644541	0.9577002245234952
