gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160255	60121.94925608948	3.130816581559771	0.14685268236582813	21.319437487430573	7.495390833397527e-101	1.7164445008480337e-98
ENSG00000156265	31971.697216318713	2.999700968579552	0.14690193850470512	20.419750747424445	1.116322989507215e-92	1.2781898229857613e-90
ENSG00000180509	35031.31855325763	3.2315096772010583	0.17162245580082866	18.829177464697807	4.354720289657734e-79	3.3241031544387367e-77
ENSG00000142192	47649.73408993818	3.0890824567963433	0.18156857876654708	17.01330966944534	6.543455076394788e-65	3.7461280312360164e-63
ENSG00000183527	7910.051434923301	2.832635540446175	0.1700494897636012	16.6577126716701	2.6600459309882057e-62	1.2183010363925981e-60
ENSG00000159128	10515.139960221728	2.494067324381639	0.15472532744519632	16.119321675147447	1.866467232917524e-58	7.123683272301882e-57
ENSG00000142168	6492.730818627455	2.9836824694639206	0.22423895169223773	13.305817062322648	2.1413929711265647e-40	7.005414148399762e-39
ENSG00000160307	4686.007756524469	3.3559579059527085	0.28545131281513825	11.756673573703505	6.525485520779563e-32	1.8679202303231497e-30
ENSG00000159197	1664.6175765842706	2.2369318401045115	0.20394224945550193	10.968457227851587	5.418909592452505e-28	1.3788114407462485e-26
ENSG00000160284	7003.484061368089	3.4482846250994643	0.5555947172702441	6.206474824025731	5.418629665408887e-10	1.240866193378635e-8
ENSG00000183421	2747.7832076345203	-0.6382150276999696	0.18063648206333272	-3.5331457987329817	4.106459390033882e-4	0.008548901821070536
ENSG00000166265	1156.4786181740196	-0.6763863396948289	0.2097118470859629	-3.2253129667851885	0.0012583502643392472	0.024013517544473967
ENSG00000156256	5807.11306693512	-0.44728823406150275	0.1475855174285296	-3.030705463888816	0.0024398312313572506	0.04297856553698542
ENSG00000272804	578.3312583586256	-1.0506707290113195	0.3564673156622346	-2.9474531965417756	0.003204032505423414	0.05240881741014013
ENSG00000154736	2764.2794149477186	-0.6524666668813636	0.22702799714355068	-2.8739480376457993	0.0040537565172655285	0.06188734949692041
ENSG00000184900	2641.2105925698047	0.5374483629627964	0.19586050536138028	2.744036435376064	0.006068880158420997	0.08686084726740052
ENSG00000285815	1192.5127801075485	-0.5588584175711282	0.21588340134799058	-2.588704893852785	0.009633761526514382	0.12977243468069374
ENSG00000275464	3626.0893609050645	-0.45260760589404414	0.17856593598390283	-2.534680555953546	0.011254990864175207	0.14318849488311788
ENSG00000154721	4215.757592205363	-0.47060108329799605	0.1921656696026691	-2.4489342153103273	0.01432796141411222	0.17268964020166833
ENSG00000184351	193.13898898439786	0.9761546293727189	0.4179293502461727	2.3356929318262405	0.01950725114408274	0.21782441568249472
ENSG00000142178	2034.2284764261215	0.5064596628198919	0.21766228578103752	2.326814041314336	0.019975164756909997	0.21782441568249472
ENSG00000156284	755.7595587607422	-0.6281667871359383	0.27881205093780803	-2.2530116077230016	0.024258417087218875	0.24336136457218727
ENSG00000157542	8978.167622008315	0.4055162924085821	0.18077742259453997	2.2431799645584167	0.02488521175295059	0.24336136457218727
ENSG00000156282	399.75659359416437	-0.8606120154930736	0.3852914387501094	-2.2336650362253327	0.025505121177871157	0.24336136457218727
ENSG00000160213	3465.9006203760696	0.46039916325834473	0.2257237485962975	2.039657617425801	0.04138443900794203	0.379081461312749
ENSG00000186965	136.94900288481037	-0.9415979812668703	0.47731068424497564	-1.9727150729012453	0.0485280337016136	0.4274199891411352
ENSG00000160282	4488.835757680649	0.33505364788168107	0.17147765287976816	1.9539201887525512	0.05071065659466189	0.43010149482139154
ENSG00000184724	161.99189334597077	0.842777438300198	0.4390386759872824	1.9195972573601026	0.05490879076059393	0.4490754672920003
ENSG00000205929	1291.5481615562885	-0.3942268895770777	0.20936483863601874	-1.8829660803858381	0.059704964894879635	0.4714633434802564
ENSG00000171189	8603.855168609129	-0.3190531741653194	0.17160363796721145	-1.859244815231023	0.06299244516083533	0.4808423313943763
ENSG00000160214	4552.2566939973485	0.3156958716906995	0.17249205460284833	1.8302052950645675	0.06721924631593677	0.49655507762417805
ENSG00000205670	1965.063223810067	0.40367176966350693	0.2239540947325033	1.8024755034984432	0.07147062541406662	0.5087232554991908
ENSG00000160216	13268.669265622417	0.2893365258290848	0.16155935434254523	1.7908992457076847	0.07330946476625894	0.5087232554991908
ENSG00000154734	4209.344215875284	-0.31505380833134866	0.18505987837452786	-1.7024425342684841	0.08867244232514006	0.5535349346230772
ENSG00000156239	3403.6427446933576	-0.4018558350587104	0.23770511439298686	-1.6905645302790615	0.09092000383692493	0.5535349346230772
ENSG00000142182	1437.963541435964	0.4349587178897485	0.2573355565717463	1.690239482193282	0.09098214771506996	0.5535349346230772
ENSG00000183778	7339.557191660545	-0.29458789715084116	0.1761637906145944	-1.6722386372539593	0.09447727438272284	0.5535349346230772
ENSG00000159082	13437.624318538767	0.28180771997913207	0.16909020773754488	1.666611708328745	0.09559163924282872	0.5535349346230772
