baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
65154.88121071	2.9564909375058432	0.14513764535655158	20.37025563039001	3.070709384997207e-92	7.031924491643604e-90	ENSG00000160191
19988.264175379598	3.2932249625903443	0.172634600118678	19.076274167092865	3.9761277153102546e-81	4.5526662340302413e-79	ENSG00000154734
9243.002464315456	2.7449170085782373	0.18012629574062514	15.238846706373238	1.9528704739416612e-52	1.4906911284421346e-50	ENSG00000183145
5646.2133370259835	2.9472491217986185	0.20436781376945995	14.421297891473777	3.8012639233470325e-47	2.1762235961161762e-45	ENSG00000142168
11089.557120688407	3.1489916929700184	0.21886489653767707	14.38783351183924	6.169851600229673e-47	2.82579203290519e-45	ENSG00000276289
9477.846451306592	3.2387080002450914	0.2410259298786559	13.43717666342212	3.661416695760333e-41	1.397440705548527e-39	ENSG00000154723
25622.97538316777	2.5726530097439526	0.22104114646657	11.638796897631172	2.61680785477669e-31	8.560699982055172e-30	ENSG00000180509
33679.16804947852	3.0194525943300126	0.26760533739131687	11.283230087128995	1.588058181943734e-29	4.545816545813938e-28	ENSG00000156299
2370.627400529113	1.6228575940622636	0.31935348621685083	5.081696815923573	3.7407814458373203e-7	9.518210567741626e-6	ENSG00000275993
9045.207654701264	2.5786762605487814	0.5682473893333768	4.5379465158192485	5.680466196878027e-6	1.300826759085068e-4	ENSG00000142178
291.05636153205563	-1.2944019524079653	0.3281195326335425	-3.944909777296334	7.983003004690499e-5	0.0016619160800673855	ENSG00000222018
438.50555209881486	-1.2127223637840485	0.31778056050189374	-3.8162257687150802	1.3550852411905808e-4	0.002585954335272025	ENSG00000215455
1445.2114963782071	-0.6303504866545501	0.20630054652328167	-3.0554959610027645	0.002246886291554193	0.03957976621276233	ENSG00000166351
659.9953768191835	1.0030127511255926	0.34699681418697637	2.8905531985233948	0.003845644369323214	0.06290375432678685	ENSG00000156284
3338.867054546862	0.4578378504368479	0.17221930012115547	2.6584584312836084	0.007849903374727697	0.11984185818750952	ENSG00000157557
7386.795606617353	0.40316493828673733	0.1606988690376395	2.508822499505622	0.012113433667721874	0.1733735193692693	ENSG00000160183
6912.93909909167	-0.5773657621299473	0.2599224797099827	-2.221299838221621	0.02633065982169229	0.3350685393379155	ENSG00000171587
4443.374267840778	0.3750720188774637	0.16885991220774627	2.2212022615291738	0.026337265100796856	0.3350685393379155	ENSG00000154721
8144.458544745616	-0.3957269094699339	0.1831135407464031	-2.1611012918918022	0.03068751581303495	0.3376506975613155	ENSG00000205581
1388.07798271571	-0.5212281338970672	0.24142783245560673	-2.1589397071396466	0.03085484482320719	0.3376506975613155	ENSG00000205929
494.62275927289363	0.5534123553465319	0.25650153087252936	2.157540165409597	0.030963601086408846	0.3376506975613155	ENSG00000276612
8129.865013791499	0.3856510578751785	0.18814248708939543	2.0497818639547236	0.040385722167355496	0.41313669687094634	ENSG00000157542
1277.3902245969034	-0.5335627783545779	0.2617352873242885	-2.0385588195201843	0.04149407872502954	0.41313669687094634	ENSG00000160284
434.8688186515565	0.7380200025565018	0.3961539675545463	1.8629625423475888	0.06246753643865805	0.5960444101855289	ENSG00000221859
3054.0861492901513	-0.37681395807926465	0.20589095807867816	-1.8301627307755342	0.06722560891850873	0.6157865776935401	ENSG00000142149
26598.19565410778	-0.3069038151899469	0.17100087700222052	-1.794749948481034	0.07269354854702456	0.6280491735192549	ENSG00000182670
15431.97385935668	1.7397468869978412	0.9739346571561192	1.7863076072042525	0.07404946587344928	0.6280491735192549	ENSG00000141959
8366.27103832543	-0.36385107329277666	0.2071587181146162	-1.7563879358022778	0.07902219138462159	0.6462886366813695	ENSG00000160285
2284.7771239841004	-0.5246225593195252	0.30597656643376847	-1.7145841115681801	0.08642150380264696	0.6824318748553846	ENSG00000249624
4061.84891833216	-0.26983556468707215	0.16630685799183642	-1.6225161604599474	0.10469287573451082	0.7196171435242636	ENSG00000160226
5356.53086525883	-0.42184542227997607	0.26237260234563375	-1.6078104897715748	0.10787669034266119	0.7196171435242636	ENSG00000184012
151.76702798786704	0.7940036028158225	0.4976517219366415	1.595500563578701	0.11060034407223185	0.7196171435242636	ENSG00000244025
5682.201156378684	-0.2688117176844838	0.1701474168510892	-1.5798753966376364	0.1141354046507831	0.7196171435242636	ENSG00000166979
8754.302054810743	-0.25741319053392	0.16496464620615064	-1.5604142854478018	0.11866201112599473	0.7196171435242636	ENSG00000173276
4384.557486896985	-0.3914409916606789	0.2515989076693243	-1.5558135577247763	0.1197524332618229	0.7196171435242636	ENSG00000156239
7780.636236975242	0.27351192918454836	0.17669075673746676	1.5479696518077732	0.12162960339664369	0.7196171435242636	ENSG00000160201
8136.59755165049	-0.2373273621401878	0.15451901918995936	-1.5359103583774838	0.12456036729929357	0.7196171435242636	ENSG00000186866
294.4110633617898	-0.5446849954964039	0.357234723133117	-1.524725790145089	0.12732750628450384	0.7196171435242636	ENSG00000159197
3709.679663912381	0.27401786743355055	0.1797913642511381	1.5240880371250423	0.12748672065608752	0.7196171435242636	ENSG00000142188
1101.982692773567	-0.43386608034027463	0.28693908051762046	-1.5120494550885397	0.13052128183682538	0.7196171435242636	ENSG00000285815
9859.229237895657	0.2762702735844593	0.1836820257874617	1.50406808940648	0.1325638357317524	0.7196171435242636	ENSG00000182871
803.4727044503315	0.344084276644919	0.23075358212379787	1.4911329803769628	0.13592658500370797	0.7196171435242636	ENSG00000183036
3351.3127156485652	-0.2932854791392545	0.19782184196746863	-1.4825737958070608	0.13818768353126346	0.7196171435242636	ENSG00000243646
